JUDUL,KELURAHAN,HARGA,LB,LT,KT,KM,GRS
Rumah Murah Hook Tebet Timur,Tebet Timur,3800000000,220,220,3,3,0
Rumah Modern di Tebet dekat Stasiun,Tidak Diketahui,4600000000,180,137,4,3,2
Rumah Mewah 2 Lantai Hanya 3 Menit Ke Tebet,Tidak Diketahui,3000000000,267,250,4,4,4
Rumah Baru Tebet,Tidak Diketahui,430000000,40,25,2,2,0
Rumah Bagus Tebet komp Gudang Peluru lt 350m,Tidak Diketahui,9000000000,400,355,6,5,3
Rumah Mewah Modern Murah 3 lantai di Tebet Jakarta Selatan,Tidak Diketahui,4970000000,300,154,5,3,3
Rumah lama di Tebet,Tidak Diketahui,2600000000,120,150,3,2,1
RUMAH BAGUS KEREN JALAN LEBAR DI AREA & KAWASAN TERBAIK TEBET,Tidak Diketahui,10500000000,350,247,4,4,0
Minimalis Baru Jalan 1 Mobil Akses Mudah Dekat ke Jalan Lebar,Tidak Diketahui,3250000000,125,90,3,3,0
Minimalis Baru Jalan 2 Mobil Tebet Timur,Tebet Timur,4500000000,250,96,5,4,1
Brand New house di Tebet Barat,Tebet Barat,3600000000,154,110,3,3,3
Rumah Mewah di TEBET,Tidak Diketahui,9500000000,450,240,4,4,1
Rumah bagus di tebet,Tidak Diketahui,10500000000,218,118,3,3,2
#BAWAHNJOP#MURAH#CASHONLY#LELANG# RUMAH ASEM BARIS RAYAI COCOK UNTUK USAHA DEKAT SAAS,Tidak Diketahui,12500000000,200,979,4,2,6
Rukan Baru Siap Pakai di Tebet Jakarta Selatan,Tidak Diketahui,4600000000,180,137,5,4,2
Rumah bebas banjir di kebon baru tebet,Kebon Baru,3000000000,126,144,4,2,2
Rumah jalan 2 mobil,Tidak Diketahui,6000000000,400,150,5,4,1
Rumah standard hitung tanah di tebet dalam jakarta selatan,Tidak Diketahui,7500000000,150,253,5,2,2
BRAND NEW 3 LANTAI DENGAN FASILITAS KOLAM RENANG DI TEBET - JAKSEL,Tidak Diketahui,9700000000,450,248,5,5,4
Rumah mewah 2 Lantai Murah full furnished bebas banjir di lokasi strategis rasamala tebet jakarta selatan,Tidak Diketahui,14000000000,300,700,8,5,2
Rumah di Tebet timur,Tebet Timur,8000000000,315,218,7,3,2
Rumah di Tebet,Kebon Baru,700000000,75,75,2,3,0
Rumah di Tebet,Kebon Baru,5500000000,350,230,5,5,3
Rumah 1.5 Lt Di Asem Baris Tebet Jakarta Selatan,Tidak Diketahui,11000000000,650,695,9,6,2
Rumah siap huni,Tidak Diketahui,4000000000,250,199,8,2,2
Rumah Baru,Tebet Barat,3900000000,210,130,3,4,2
Rumah Minimalis Plus Mini Swimming Pool,Tidak Diketahui,6500000000,300,200,5,5,4
Rumah Bagus Siap Huni,Tidak Diketahui,5800000000,175,200,6,4,2
Rumah Brand New Minimalis Elegan 2 Lantai Lokasi Strategis 5 Menit Ke Stasiun di Tebet,Tidak Diketahui,3200000000,140,110,3,3,2
Rumah Daerah Tebet,Tidak Diketahui,8800000000,400,230,5,5,2
Rumah pinggir jalan daerah tebet masuk mobil,Tidak Diketahui,1100000000,102,102,2,1,0
Rumah mewah hook siap huni dan terawat di gudang peluru tebet,Tidak Diketahui,10900000000,646,428,5,5,2
Rumah tebet,Tidak Diketahui,3600000000,145,200,8,8,1
Rumah baru Minimalis,Tidak Diketahui,4000000000,220,120,4,4,3
Rumah mewah murah dalam komplek di tebet,Tidak Diketahui,6000000000,325,222,6,5,0
Rumah Minimalis 3 Lantai lokasi strategis bebas banjir ada mini kolam renang di tebet jakarta selatan,Tidak Diketahui,6500000000,300,200,5,5,1
Rumah Siap Huni Hadap Timur di Tebet,Tidak Diketahui,4500000000,250,154,6,3,1
Rumah Minimalis di Tebet Jakarta Selatan,Tidak Diketahui,4500000000,247,105,5,5,1
rumah 2 lantai,Tebet Timur,4000000000,200,140,4,4,2
FATHUR TEBET RUMAH BAGUS lt 90m2 LOKASI BAGUS. HUB FATHUR:0818398080,Tidak Diketahui,2600000000,150,90,3,2,2
Rumah tua layak huni,Tebet Barat,5500000000,210,239,8,5,1
Di Juaal Cepat Rumah Mewah Di Menteng Dalam Fully Furnished dan Bangun Kualitas Terbaik hrg 15 M,Menteng Dalam,15000000000,339,643,7,5,5
Rumah 2 Lt bagus dan TERMURAH Akses Jalan 2 Mobil di Tebet Utara,Tidak Diketahui,3500000000,190,100,5,4,2
Rumah tebet jakarta selatan,Tidak Diketahui,6000000000,450,240,9,9,0
RUMAH MURAH DI JAKARTA SELATAN,Tidak Diketahui,8000000000,300,232,6,5,0
Rumah Layak Huni,Tidak Diketahui,9500000000,352,305,4,3,0
Rumah Modern Minimalis 3 Lantai Full Furnished di Tebet Jakarta Selatan,Tidak Diketahui,4300000000,135,146,6,6,1
TEBET RUMAH MURAH 135m HUB FATHUR: 0818398080-PR 22726,Tidak Diketahui,3800000000,200,135,3,4,0
